,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
168,"All We Got (feat. KIDDO)","Robin Schulz",833745,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
169,"Life Goes On",BTS,831888,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
170,"Lance Individual","Jorge & Mateus",830809,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
171,"Take You Dancing","Jason Derulo",829377,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
172,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",828052,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
173,"Love Not War (The Tampa Beat)","Jason Derulo",825578,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
174,"Why'd You Only Call Me When You're High?","Arctic Monkeys",822170,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
175,"Take on Me",a-ha,821304,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
176,"Godzilla (feat. Juice WRLD)",Eminem,820728,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
177,Antes,"Anuel AA",819826,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
178,"Put Your Records On","Ritt Momney",818729,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
179,"Fan de Tus Fotos","Nicky Jam",814405,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
180,BED,"Joel Corry",812263,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
181,Snowman,Sia,810384,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
182,"my ex's best friend (with blackbear)","Machine Gun Kelly",809650,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
183,"I Feel It Coming","The Weeknd",806618,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
184,"Counting Stars",OneRepublic,806214,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
185,"Travesuras - Remix","Nio Garcia",805656,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
